,lyrics
20," Black jack, whiskey straight Every day changes your life You got the look that you know You're real bad, yeah, baby, you're right Everybody loves you Baby, you're the king of the night And I'm the only one making sure to stay Out of your sight You know I can make your night You wanna get it? You got something that I like But I might regret it Me and you, burnin' disaster And you're only a danger to me But the party ain't the same without you That's why you're so good for everybody else But you're trouble for me Aw aw aw aw Yeah, you're trouble for me Aw aw aw aw Trouble for me Sweet talk, here we go Tell me something incredible You drive me crazy every time That I smell your cigarettes and cologne You know I can make your night You wanna get it? You got something that I like But I might regret it Me and you, burnin' disaster And you're only a danger to me But the party ain't the same without you That's why you're so good for everybody else But you're trouble for me Aw aw aw aw Yeah, you're trouble for me Aw aw aw aw Trouble for me Kiss, kiss, tip your glass I'll do whatever you ask for But if you want my love You can only find it on the dance floor You know I can make your night You wanna get it? You got something that I like But I might regret it Me and you, burnin' disaster And you're only a danger to me But the party ain't the same without you That's why you're so good for everybody else But you're trouble for me Aw aw aw aw Aw aw aw aw, yeah, you're trouble for me Yeah, you're trouble for me, aw aw aw aw Aw aw aw aw, yeah, you're trouble for me Yeah, you're trouble for me, aw aw aw aw Aw aw aw aw, yeah, you're trouble for me Yeah, you're trouble for me, aw aw aw aw You know I can make your night You wanna get it? You got something that I like But I might regret it"
21," (Yeah) Know you tryna be Know you tryna be, a gentleman A gentleman Trying to impress Tryna be the best, specimen Perfect specimen (yeah) And don't get me wrong, I appreciate ya And don't get me wrong, I really do And don't get me wrong, but I'm tired of waiting Say you don't wanna cross the line But I'ma make you change your mind No seas cortés I'ma make you change your mind No seas cortés You don't wanna cross the line But I'ma make you change your mind See it in my lips You feel it in my kiss I'm desperate, so desperate I know you wanna too 'Cause the way you touch me, you Keep proving it, you're proving it (yeah) And don't get me wrong, I appreciate ya And don't get me wrong, I really do And don't get me wrong, but I'm done with patience Say you don't wanna cross the line But I'ma make you change your mind No seas cortés I'ma make you change your mind No seas cortés You don't wanna cross the line But I'ma make you change your mind I can see it in your eyes That you wanna be polite That you wanna treat me right Oh my (no seas cortés) I can see it in your eyes That you wanna be polite That you wanna treat me right Oh my (no seas cortés) Yo sé que estás intentando ser educado Yo sé que me quieres tratar bien Pero no seas cortés (no seas cortés) Yo sé que estás intentando ser educado Yo sé que me quieres tratar bien Pero no seas cortés Say you don't wanna cross the line But I'ma make you change your mind No seas cortés I'ma make you change your mind No seas cortés You don't wanna cross the line But I'ma make you change your mind No seas cortés I'ma make you change your mind (change your mind) No seas cortés You don't wanna cross the line But I'ma make you change your mind"
22," [Ying Yang Twins] (Shout it) We gonna go to the club and get drunk with Britney Ah, ah, ah, ah, ah, ah Ying Yang, Britney (Shout it) She fine, she fine Fine enough to blow your mind (Shout it) She bad, she bad Get on the floor and shake that ass (Shout it) She fine, she fine Fine enough to blow your mind (Shout it) She bad, she bad Get on the floor and shake that ass [Britney] Yeah, this is for all the southern boys out there Check this out I see you looking my way And I know that You have something to say Watching every inch of my body Like you wanted to play Boom, boom, boom Boy you look so sexy Boom, boom, boom Boy you look so sexy I begin to dance just a little bit To turn you on I got that boom boom That you want Watching me all night long Hurry up before it's gone I got that boom boom That you want I don't think you should wait One minute might be too late You had caught my eye and I wanted to get to know you Don't be shy I want you to come closer So what you gonna do? (So here we go) Boom, boom, boom Boy you look so sexy (So damn sexy) Boom, boom, boom Boy you look so sexy (Tonight) I got that boom boom That you want (That you want) Watching me all night long Hurry up before it's gone I got that boom boom (I got that boom boom) That you want I don't think you should wait One minute might be too late [Ying Yang Twins:] (Shout it) She fine, she fine Fine enough to blow your mind (Shout it) She bad, she bad Get on the floor and shake that ass (Shout it) She fine, she fine Fine enough to blow your mind (Shout it) She bad, she bad Get on the floor and shake that ass (Shout it) She fine, she fine Fine enough to blow your mind (Shout it) She bad, she bad Get on the floor and shake that ass [Britney] I got that boom boom That you want Watching me all night long Hurry up before it's gone I got that boom boom (I got that boom boom) That you want I don't think you should wait One minute might be too late I got that boom boom (Yeah) That you want Watching me all night long Hurry up before it's gone I got that boom boom (Yeah) That you want I don't think you should wait One minute might be too late Boom, boom, boom Boy you look so sexy (Damn you look so sexy) Boom, boom, boom Boy you look so sexy (Adoring me) Boom, boom, boom Boy you look so sexy (Damn you turning me on) Boom, boom, boom Boy you look so sexy Yeah"
23," Do I imagine it, or do I see your stare Is there still longing there? Oh I hate myself, and I feel crazy Such a classic tale Current girl friend, ex girlfriend, I'm trying to be cool Am I being paranoid, am I seeing things? Am I just insecure? I want to believe It's just you and me Sometimes it feels like there's three Of us in here baby So I, wait for you to call And I try to act natural Have you been thinking 'bout her about me And while I wait I put on my perfume, yeah I want it all over you I'm gonna mark my territory I'll never tell, tell on myself but I hope she smells my perfume I'll never tell, tell on myself but I hope she smells my perfume I hide it well, hope you can tell but I hope she smells my perfume I hide it well, hope you can tell but I hope she smells my perfume I wanna fill the room, when she's in it with you Please don't forget me Do I imagine it, or catch these moments I know you got history But I'm your girlfriend, now I'm your girlfriend Trying to be cool I hope I'm paranoid, that I'm just seeing things That I'm just insecure I want to believe It's just you and me Sometimes it feels like there's three Of us in here baby So I, wait for you to call And I try to act natural Have you been thinking 'bout her, about me And while I wait I put on my perfume, yeah I want it all over you I'm gonna mark my territory So I, wait for you to call And I try to act natural Have you been thinking 'bout her, about me And while I wait I put on my perfume, yeah I want it all over you I'm gonna mark my territory I'll never tell, tell on myself but I hope she smells my perfume I'll never tell, tell on myself but I hope she smells my perfume I hide it well, hope you can tell but I hope she smells my perfume I hide it well, hope you can tell but I hope she smells my perfume"
24," I believe we all have one true love Somewhere in this world I do When it seemed all my dreams were falling through That's when I found you I believe for every heart That whispers in the dark There's a ray of light somewhere shining through It must sink or swim when the tide came in I found myself when I found you [Chorus] I found the closest thing to heaven That's in you I found the deepest love I knew Ooh oh I believe Yes it's true I found myself, when I found you I believe for every door that's closing For every heartbreak There's hope for something new From the ashes rise a glimpse of paradise It soon flickered in your eyes When I found you [Chorus] [Bridge] A life unfolds No one knows I thought love was just a tingling of the skin I felt so alone All alone More than you could ever know You show deep love Sweet love When I found you (ooh oh) I found the closest thing to heaven (yeah) (I finally found you baby) I found (yeah yeah) The closest thing to heaven I found myself when I found you I found the closest thing to heaven Yes in you I found the deepest love I knew Ooh oh I believe Yes it's true I found myself When I found you"
25," Lying alone Touching my skin I'm falling under A girl like me And I can't hold it in It makes me wonder Is this for real? It's not what it seems You're like an angel I'm running now My feet off the ground Take me Touch me Won't you hold me close? And then we kiss Your love comes alive on my lips I feel a rush coming over me, over me And when we touch This moment when everything's still I close my eyes and then we kiss The feel of your hand As it touches my hair It makes me tremble Don't wanna let go Of the feelings we share So baby, go slow Our hearts beating fast And my body cries I want it to last It's burning inside We're getting deeper Take me Touch me Won't you hold me close? And then we kiss Your love comes alive on my lips I feel a rush coming over me, over me And when we touch This moment when everything's still I close my eyes and then we kiss You're drifting the sun comes up You're fading you seem so far I don't know if I'm awake Open my eyes and then we, we kiss Take me Touch me Won't you hold me close? And then we kiss Your love comes alive on my lips I feel a rush coming over me, over me And when we touch This moment when everything's still I close my eyes and then we kiss And then we kiss And then we kiss And when we touch This moment when everything's still I close my eyes And then we kiss"
26," (Uh huh) What? Say you feel alone, that your day was the baddest Tellin' me you can’t sleep because of your mattress Do you wanna come over? (Yeah) Do you wanna come over? (Yeah) Let me rub your back, you can set limitations Honey, if you want we can get out frustrations Do you wanna come over? (Just let me know) Do you wanna come over? (Yeah) 'Cause nobody should be alone if they don't have to be Nobody should be alone if they don't have to be Nobody should be alone if they don’t have to be Should be alone if they don't have to be So Whatever you want (Whatever you want) Whatever you need (Whatever you need) I'll do it (uh huh) I'll do it (uh huh) Whatever you want (Whatever you want) Whatever you need (Whatever you need) I'll do it (uh huh) I'll do it (uh huh) Do you wanna come over? I could get into that kissin' and touchin' Or we could be good and do next to nothin’ Do you wanna come over? (Yeah) Do you wanna come over? (Yeah, let me know) 'Cause all I want is what you want And all you want is me Yeah, all you want is what I want And all I want is you (Yeah) 'Cause nobody should be alone if they don’t have to be Nobody should be alone if they don't have to be Nobody should be alone if they don’t have to be Should be alone if they don't have to be So Whatever you want (Whatever you want) Whatever you need (Whatever you need) I'll do it (uh huh) I'll do it (uh huh) Whatever you want (Whatever you want) Whatever you need (Whatever you need) I’ll do it (uh huh) I'll do it (uh huh) Do you wanna come over? Do you want to come over, come over? 'Cause all I want is what you I want And all you want is me Yeah, all you want is what I want And all I want is you Just come over Whatever you want (whatever you want) Whatever you need (whatever you need) I'll do it (uh huh) I'll do it (uh huh) Whatever you want (whatever you want) Whatever you need (whatever you need) I'll do it (uh huh) I'll do it (uh huh) Do you wanna come over? Do you want to come over? (uh huh) Come over? Uh huh Do you want to come over? (uh huh) Come over? (uh huh) Do you wanna come over?"
27," You toke your love away,to fast Left no chance to say,look back And know I no the truth it makes it easier, Maybe when time goes by,I'll Understand [Chorus] Lets pretend that I moved on, Then ill tell myself, that life goes on without you, Open My eyes, Look deep inside.., I run away,I runaway,I runaway.. You throw it all away,So blind(so blind) Pushed me far from you in your life..(life) And now I no the tears won't lead, to lonleyness, Maybe when time goes by, I'll understand [Chorus] Lets pretend that I moved on, Then ill tell myself,that life goes on without you, Open My eyes, Look deep inside.., I run away,I runaway,I runaway..... I run away.... I run away... I run away.. [Chorus] Lets pretend that I moved on, Then ill tell myself,that life goes on without you, Open My eyes, Look deep inside.., I run away,I runaway,I runaway.. Lets pretend that I moved on, Tell myself,that life goes on without you, Open My eyes, Look deep inside.., I runaway,I run away,I runaway."
28," To think I'm so naive How dare you play with me? I gave you heart and soul, yeah Tell me baby, please Why you screwing with my head? I don't think you understand I won't take your (huh) no more Don't knock on my door Not this time, because I recognize I've heard it all before, and I-I-I Think of all the time that I wasted Think of all the times that I took you back Ain't no way I'll be lonely I don't want to let you back in Let's just face it Better off alone and I won't turn back You thought that I would be lonely I don't want to let you back in Don't tell me how to feel Or say that you're for real My mind's made up, I'm cool without you You got no more appeal Now this girl don't need no man Says what she can do what she can Now I live for me Boy, does that make you weep? Not this time, because I realize I've heard it all before, and I-I-I Think of all the time that I wasted Think of all the times that I took you back Ain't no way I'll be lonely I don't want to let you back in Let's just face it Better off alone and I won't turn back You thought that I would be lonely I don't want to let you back in Think of times You made me cry You had me so confused I'm tired of trying Leave behind this What's a girl to do? I think of all the times you made me sick I used to think I couldn't handle it What you think, I'm just another chick? Messed with Brit, boy, you must have tripped What were you thinking when you lost my trust? You had it all now you're left with nothing Oh baby, now I know you want my touch And now you're lonely and you still want me Think of all the time that I wasted Think of all the times that I took you back Ain't no way I'll be lonely I don't want to let you back in Let's just face it Better off alone and I won't turn back You thought that I would be lonely I don't want to let you back in Think of all the time that I wasted Think of all the times that I took you back Ain't no way I'll be lonely I don't want to let you back in Let's just face it Better off alone and I won't turn back You thought that I would be lonely I don't want to let you back in"
29," (Everybody) (Everybody's looking for something) I'm ferocious When I see you instantly So precocious Assuming that you're into me So fierce, the way you pierce me with your energy My heart's on fire Boy, come on and rescue me When I see you, I need you right away (taking me) Can't control the way that I am behaving It's got a hold of me Grabbing me, rapidly Romantic dancing Dreams are made of this, yeah Everybody, come on get to jumping Everybody, moving next to something Everybody, feel the temperature rising Everybody, come on let's keep grinding It's so real to feel you standing next to me So intense when your scent's in my vicinity Body shaking, aching, I can't take it How I want you so bad, boy, that I can taste it now When I see you, I need you right away (taking me) Can't control the way that I am behaving It's got a hold of me Grabbing me, rapidly Romantic dancing Dreams are made of this, yeah Everybody, come on get to jumping Everybody, moving next to something Everybody, feel the temperature rising Everybody, come on let's keep grinding Fellas get wild, start flashing your money Ladies go crazy and act a fool Everybody get down and do what you want to The night is still young to be seduced Taking in every little thing I see Triple tie dancing with the tab complete Little boys dancing cause they feeling me Sweating cold, fretting, it's the place to be Come and sit with me, come and sit with me Sit back, you'll see it so beautifully Loving everybody, baby, is all you need Let go of the way things used to be Everybody, come on get to jumping Everybody, moving next to something Everybody, feel the temperature rising Everybody, come on let's keep grinding Everybody, come on get to jumping Everybody, moving next to something Everybody, feel the temperature rising Everybody, come on let's keep grinding (Everybody) Everybody (Everybody's looking for something, everybody) Everybody (Everybody's looking for something)"
30," Oh baby, baby How was I supposed to know That something wasn't right here Oh baby, baby I shouldn't have let you go And now you're out of sight, yeah Show me how you want it to be Tell me baby 'cause need to know now, oh because [Chorus] My loneliness is killing me And I, I must confess I still believe, still believe, still believe When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby The reason I breathe is you Boy you got me blinded Oh pretty baby There's nothing that I wouldn't do It's not the way I planned it Show me how you want it to be Tell me baby 'cause I need to know now, oh because [Chorus] Oh baby, baby how was I supposed to know Oh pretty baby, I shouldn't have let you go I must confess, that my loneliness is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time [Chorus: x2]"
31," Never look back, we said How was I to know I'd miss you so? Loneliness up ahead, emptiness behind Where do I go? And you didn't hear All my joy through my tears All my hopes through my fears Did you now, still I miss you somehow From the bottom of my broken heart There's just a thing or two I'd like you to know You were my first love You were my true love From the first kisses to the very last rose From the bottom of my broken heart Even though time may find me somebody new You were my real love, I never knew love 'Til there was you From the bottom of my broken heart Baby, I said Please stay, give our love a chance for one more day We could have worked things out Taking time is what love's all about But you put a dart through my dreams Through my heart And I'm back where I started again Never thought it would end From the bottom of my broken heart There's just a thing or two I'd like you to know You were my first love, You were my true love From the first kisses to the very last rose From the bottom of my broken heart Even though time may find me somebody new You were my real love, I never knew love 'Til there was you From the bottom of my broken heart You promised yourself But to somebody else And you made it so perfectly clear Still I wish you were here now From the bottom of my broken heart There's just a thing or two I'd like you to know You were my first love You were my true love From the first kisses to the very last rose From the bottom of my broken heart Even though time may find me somebody new You were my real love, I never knew love 'Til there was you From the bottom of my broken heart Never look back, we said How was I to know I'd miss you so?"
32," Nothing seems to be the way that it used to Everything seems shallow God give me truth In me and tell me somebody's watching Over me and that is all I am praying is that Someday (I will understand) In God's whole plan and what he's done to me Oh but maybe someday I will breathe And I'll finally see I'll see it all in my baby Don't you run too fast my dear Why don't you stop Just stop and listen to your tears They're all you've got it's in you You see somebody's watching Over you and that is all I am praying is that Someday (you will understand) In God's whole plan and what he's done to you Oh but maybe someday you will breathe And you'll finally see You'll see it all in your baby You'll see it all in your baby No moment will be more true Than the moment I look at you It's in you, you see somebody's watching Over you and that is all I am praying is that Someday (you will understand) In God's whole plan and what he does to you Oh but maybe someday you will breathe And you'll finally see You'll see it all in your baby You'll see it all in your baby You'll see it all in your baby You'll see it all in your baby"
33," Just luv me (just luv me) Just luv me I'm not gonna ask for a sip when I'm thirsty And you don't have to hold my hand when I'm hurting Won't make you sober me up when I'm turning And you don't gotta say it, I know that I'm worthy You could ask me for a sorry Let it calm before the storm Ask for pieces of my body Until all of it is yours But I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me, just luv me If you think that I'm saying that because I'm high maintenance Like I'm trying to mask every problem that I'm facing Well you're wrong 'cause I don't need nobody when I'm breaking All I need is your love and a little bit of patience You could ask me for a sorry Let it calm before the storm Ask for pieces of my body Until all of it is yours But I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me, just luv me I'm not gonna ask you for nothing Just luv me I'm not gonna ask you for nothing Just luv me Oh no, I won't, I promise, I promise Oh no, I won't ask you for nothing Oh no, I won't, I promise, I promise I promise, I promise But I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me I'm not gonna ask you for nothing Just luv me, just luv me I'ma keep it simple, real simple Just luv me, just luv me, just luv me Oh no, I won't, I promise, I promise Oh no, I won't ask you for nothing Oh no, I won't, I promise, I promise I promise, I promise I'm not gonna ask you for nothing Just luv me (Just luv me)"
34," I used to be your girlfriend and I know I did it well Oh yes you know its true You called me Cinderella All you had to do was yell and I'd be there for you Here I am, so try to forgive me I don't believe in fairy tales Here we are with nothin' but honesty I've had enough, I'm not gonna stay I'm sorry for runnin' away like this And I'm sorry I've already made my wish Ahh But Cinderella's got to go From time to time I'd tried to tell just what was on my mind You told me not today Come back, do that, where's Cinderella at? Was all ya had to say Here I am, so try to forgive me I don't believe in fairy tales Here we are with nothin' but honesty I've had enough, I'm not gonna stay I'm sorry for runnin' away like this And I'm sorry I've already made my wish Ahh But Cinderella's got to go I'm sorry just tryin' to live my life Don't worry your gonna be alright But Cinderella's got to go To say I want you, You cast me under your spell I did everything you wanted me to But now I shall, break free from all your lies I won't be blind you see, my love it can't be sacrificed I won't return to thee (I'm so sorry, I've already made up my mind) I won't return to thee I'm sorry to say I'm running away now Don't worry you will be alright I'm runnin' away I've made up my mind now Your gonna have to let me go 'Cause she's gotta go I'm sorry for runnin' away like this And I'm sorry I've already made my wish But Cinderella's got to go I'm sorry just tryin' to live my life Don't worry your gonna be alright But Cinderella's got to go"
35," Time may take us apart, but I will still love you, I promise Oh Oh yeah And when the stars, stars are falling I'll keep calling I promise that you'll be my one, my only everything I'll never be untrue And I promise that for all your love I will do anything I will give you the stars, I will buy you the moon Even through the longest of our nights And even through the darkest days Our love will find a way And when the stars are falling I'll keep calling I will still love you And when your dreams are fading I'll be waiting I will still love you You were my summer breeze, my winter sun, my Springtime soul (springtime soul), my autumn touch of gold, yeah And you were my sky, my rain, the earth in which my love goes strong The smile of my heart and the breath of my soul Even if we find ourselves apart We will hold our hopes and dreams Forever in our hearts And when the stars are falling (stars are falling) I'll keep calling (I'll keep calling) I will still love you (I will still love you) And when your dreams are fading (dreams are fading) I'll be waiting (I'll be waiting) I will still love you Tell me how you feel I finally know how love feels Tell me if it's real And my heart tells me it's real So real, so real And when the stars are falling (stars are falling) I'll keep calling (I'll keep calling) I will still, I will still love you (I will still love you) And when your dreams are fading I'll be waiting (I'll be waiting) I will still love you (I will still love you baby) Time may take us apart, that's true But I will always be there for you You're in my heart, you'll be in my dreams No matter how many miles we've seen I promise you that I won't forget The day we kissed or the day we met The sky may fall and the stars may tilt But I will still, I will still love you And when the stars are falling I'll keep calling I will still love you (I will still love you) And when your dreams are fading I'll be waiting (I'll be waiting) I will still love you"
36," Hey, over there Please, forgive me If I'm comin' on too strong Hate to stare But, you're winnin' And they're playin' my favorite song So, come here A little closer Wanna whisper in your ear Make it clear A little question Wanna know just how you feel If I said my heart was beating loud If we could escape the crowd somehow If I said I want your body now Would you hold it against me? 'Cause, you feel like paradise And I need a vacation tonight So, if I said I want your body now Would you hold it against me? Hey, you might think That I'm crazy But, you know I'm just your type I might be Little hazy But, you just cannot deny There's a spark In between us When we're dancin' on the floor I want more Wanna see it So, I'm askin' you tonight If I said my heart was beating loud If we could escape the crowd somehow If I said I want your body now Would you hold it against me? 'Cause, you feel like paradise And I need a vacation tonight So, if I said I want your body now Would you hold it against me? If I said I want your body Would you hold it against me? Yeah, uh-huh, oh Give me somethin' good Don't wanna wait I want it now Pop it like a hood And show me how you work it out Alright If I said my heart was beating loud If I said I want your body now Would you hold it against me? If I said my heart was beating loud If we could escape the crowd somehow If I said I want your body now Would you hold it against me? 'Cause, you feel like paradise And I need a vacation tonight So, if I said I want your body now Would you hold it against me?"
37," Turn the lights out This shit is way too fucking bright Wanna poke my eyes out If you wanna mess with my eyesight Just let me get my head right Where the hell am I? Who are you? What'd we do Last night? Hey yeah yeah Who are you? What'd we do Last night? Hey yeah yeah Can't remember what I did last night Maybe I shouldn't have given in But I just couldn't fight Hope I didn't but I think I might've Everything, everything is still a blur Can't remember what I did last night Everything, everything is still a blur (did last night) Can't remember what I did last night Everything, everything is still a blur What's your name, man? Can you calmly hand me all my things? I think I need an aspirin Better yet, I need to get up outta here I gotta get my head right Where the hell am I? Who are you? What'd we do Last night? Yeah yeah yeah Can't remember what I did last night Maybe I shouldn't have given in But I just couldn't fight Hope I didn't but I think I might've Everything, everything is still a blur Can't remember what I did last night Everything, everything is still a blur (did last night) Can't remember what I did last night Everything, everything is still a blur What happened last night? 'Cause I don't, 'cause I don't remember What happened? Can't remember what I did last night Maybe I shouldn't have given in But I just couldn't fight Hope I didn't but I think I might've Everything, everything is still a blur Can't remember what I did last night Everything, everything is still a blur (did last night) Can't remember what I did last night Everything, everything is still a blur"
38," Oh baby, baby Oh baby, baby Oh baby, baby, how was I supposed to know That something wasn't right here Oh baby, baby, I shouldn't have let you go And now you're out of sight, yeah Show me how want it to be Tell me baby 'cause I need to know now, oh because My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby The reason I breathe is you Boy you got me blinded Oh pretty baby There's nothing that I wouldn't do It's not the way I planned it Show me how you want it to be Tell me baby 'cause I need to know now, oh because My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby Oh baby, baby Yeah, Oh baby, baby how was I supposed to know Oh pretty baby, I shouldn't have let you go I must confess, that my loneliness is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time My loneliness is killing me (and I) I must confess I still believe (still believe) When I'm not with you I lose my mind Give me a sign Hit me baby one more time I must confess, that my loneliness is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time"
39," This kitten's got your tongue tied in knots, I see Spit it out 'cause I'm dying for company I notice that you got it You notice that I want it You know that I can take it To the next level, baby If you want this good, bitch Sicker than the remix Baby, let me blow your mind Tonight [Chorus] I can't take it, take it, take no more Never felt like, felt like this before C'mon get me, get me on the floor DJ whatcha, whatcha waitin' for? Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Watch me move, when I lose, when I lose it hard Get you off with the touch dancin' in the dark You notice what I'm wearing, I noticing when you're staring You know that I can take it, To the next level, baby Hotter than the A-list, Next one on my hit list Baby, let me blow your mind Tonight [Chorus] Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh See that sunlight, we ain't stopping Keep on dancin' 'till the world ends If you feel it let it happen Keep on dancin' till the world ends Keep on dancin' till the world ends Keep on dancin' till the world ends Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh Whoa oh oh oh oh oh oh oh See that sunlight, we ain't stopping Keep on dancin' till the world ends If you feel it let it happen Keep on dancin' till the world ends"
40," [Chorus] I never promised you a happy ending You never said you wouldn't make me cry But summer love will keep us warm long after Our autumn goodbye, autumn goodbye, autumn goodbye. Thinking of you And the love of our lives In the sweet summertime so sad but true (so true, so true) We must leave it behind in our heart in our mind. From April through September Bittersweet was the love that we shared don't forget I remember [Chorus:Repeat x2] Memories can make (they can make) But my heart has a place for the smile on your face And maybe someday (someday) We can be more than friends love will find us again. Red leaves and blue tomorrows Time will give back the love that we shared on the time that we borrowed [Chorus:Repeat x2] From April through September Bittersweet was the love that we shared don't forget I remember [Chorus:Repeat x2] We leave behind, the sum my time, our hearts our minds They will remind, we won't forget The day we met The day we cried ooh Autumn goodbye [Chorus]"
41," I got what you want, I got what you need Bringing out the fire inside of me I got what you want, I got what you need Bringing out the diva that lives in me I got what you want, I got what you need (Yeah, yeah, yeah, yeah) I got what you want, I got what you need (Yeah, yeah, yeah) One time just ain't enough, won't let this fade I got that good, good stuff you can't erase Give you what you want, I'm a certified service Run up in your home lay your bed with petals Nothing here to hide, want you 24/7 Keep you satisfied with your new obsession I got what you want, I got what you need Bringing out the fire inside of me I got what you want, I got what you need Bringing out the diva that lives in me I got what you want, I got what you need Yeah, yeah, yeah, yeah I got what you want, I got what you need Yeah, yeah, yeah My love don't nine to five, to satisfy Guns off to the finish line, it's winner's time Give you what you want, I'm a certified service Run up in your home lay your bed with petals Nothing here to hide, want you 24/7 Keep you satisfied with your new obsession I got what you want, I got what you need Bringing out the fire inside of me I got what you want, I got what you need Bringing out the diva that lives in me I got what you want, I got what you need Yeah, yeah, yeah, yeah I got what you want, I got what you need Yeah, yeah, yeah Don't know just what you started Take a chance, let me roll the dice No risk 'cause you know I got it Slight of hand, let me blow your mind Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah Hoo, hoo, hoo, hoo hoo, hoo, hoo, hoo Hoo, hoo, hoo, hoo hoo, hoo, hoo, hoo I got you, I got you, I got you, I got you I got you, I got you, I got you, I got you Baby I got what you, baby I got what you want Baby I got what you, baby I got what you want Baby I got what you, baby I got what you want Baby I got what you, baby I got what you That was fun"
42," It's been a while I know I shouldn't have kept you waiting But I'm here now I know it's been a while But I'm glad you came And I've been thinking 'bout How you say my name Got my body spinning Like a hurricane And it feels like You got me going insane And I can't get enough So let me get it up Ooh, looks like we're alone now You ain't gotta be scared Where you going now? I'm a have to floss on you Let's get it blazin' We can turn the heat up if you wanna Turn the lights down low if you wanna Just wanna move you But you're frozen That's what I'm saying Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel So you warming up yet? You got me hypnotized I never felt this way My heart's beating like an 808 Can you rise to the occasion? I'm patiently waiting Cause it's getting late And I can't get enough So let me get it up Ooh, looks like we're alone now You ain't gotta be scared Where you going now? I'm a have to floss on you Let's get it blazin' We can turn the heat up if you wanna Turn the lights down low if you wanna Just wanna move you But you're frozen That's what I'm saying Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel I like this part Feels kinda good Yeah Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Hot (more) Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Let me break the ice Allow me to get you right But you warm up to me Baby I can make you feel Hot (more)"
43," My friends say you're so into me And that you need me desperately They say you say we're so complete But I need to hear it straight from you If you want me to believe it's true I've been waiting for so long it hurts I wanna hear you say the words, please [Chorus] Don't, don't let me be the last to know Don't hold back, just let it go I need to hear you say You need me all the way Oh, if you love me so Don't let me be the last to know Your body language says so much Yeah, I feel it in the way you touch But til' you say the words it's not enough C'mon and tell me you're in love, please [Chorus] C'mon baby, c'mon darling, ooh yeah C'mon, let me be the one C'mon now, oh yeah I need to hear you say You love me all the way And I don't wanna wait another day I wanna feel the way you feel Oh, c'mon Don't, just let me be the one Don't hold back, just let it go I need to hear you say You need me all the way So?baby, if you love me Don't let me be the last to know"
