,lyrics
10," I see you, and I just wanna dance with you Every time they turn the lights down Just wanna go that extra mile for you (you, you) Public display of affection (ooh) Feels like no one else in the room (but you) We can get down like there's no one around We keep on rocking (we keep on rocking) Cameras are flashing while we're dirty dancing They keep watchin' (they keep watchin') Keep watching, feels like the crowd is saying Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more A center of attention (do you feel that?) Even when we're up against the wall You got me in a crazy position (yeah) If you're on a mission (uh huh) You got my permission now We can get down like there's no one around We keep on rocking (keep on rocking) We keep on rocking, rocking (oh, uh huh) Cameras are flashing while we're dirty dancing They keep watchin' (they keep watching) Keep watching, feels like the crowd is saying Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more Gimme gimme more Gimme more Gimme gimme more I just can't... control myself (Mo- Mo- Mo- Mo- Mo- More) Ooh They want more? Well I'll give them more... ow! Gimme gimme more Gimme more Gimme gimme more (gimme more) Gimme gimme more Gimme more Gimme gimme more (ooh) Gimme gimme more Gimme more Gimme gimme more Gimme gimme more (gimme more, more, yeah) Gimme more Gimme gimme more Ohh ah mmm, gimme more, gimme more (mo- mo- mo- mo- mo- more) Gimme more, gimme more babe (Danger danger danger danger danger danger) I just want more Hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah (mo- mo- mo- mo- mo-) Ha ha ha hoo... Gimme gimme Gimme Gimme gimme Gimme gimme Gimme (danger danger danger danger) Gimme gimme Gimme gimme Gimme Gimme gimme Gimme gimme Gimme Gimme gimme Gimme gimme Gimme Gimme gimme Gimme gimme Gimme (danger danger danger danger) Gimme gimme Gimme gimme Gimme Gimme gimme Gimme gimme Gimme Gimme gimme Hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah (mo- mo- mo- mo- mo-) Ha ha ha hoo Hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah Ha ha ha hoo ah (mo- mo- mo- mo- mo-) Ha ha ha hoo"
11," It's Britney Bitch I see you, And I just wanna dance with you Every time they turn the lights down Just wanna go that extra mile for you You got my display of affection Feels like no one else in the room (but you) We can get down like there's no one around We keep on rocking, we keep on rockin' Cameras are flashing while we're dirty dancing They keep watching, keep watchin' Feels like the the crowd was saying [Chorus:] Gimme Gimme more Gimme more Gimme gimme more Gimme gimme more Gimme gimme more Gimme gimme more The center of attention, even when we're up against the wall You got me in a crazy position (uh huh) If you're on a mission (ooh) You got my permission oh We can get down like there's no one around We keep on rocking, we keep on rockin' Cameras are flashing while we're dirty dancing They keep watching, keep watchin' Feels like the the crowd was saying [Chorus: x4] [Spoken] I just can't control myself, more They want more? Well I'll give them more (ow!) [Chorus: x4] Gimme more gimme more Gimme more gimme more babe I just want more Gimme gimme gimme gimme gimme Gimme gimme gimme gimme gimme Gimme gimme gimme gimme gimme Gimme gimme gimme gimme gimme"
12," I've been thinking Just sitting thinking On why I love you And all my reasons And if I lost you Boy, if I lost you I'd lose myself And I wouldn't feel the way I feel now You bring me sin Yes, you bring me sin You make me feel like a million, billion I'll let you in But don't you break my heart Don't you rip me apart No, don't you rip me apart Baby, love, it should be easy It shouldn't be complicated It should be easy I don't know how else to say it (You don't know how to) I've got visions Boy, I've got visions of me and you Happily just living Now go there out there Them beautiful men But you my future Baby, you my right now If there was a scale from 1 to 10 Then my love for you is a million, billion Boy, I'll love you till the day I'm dead So please, don't mess with my head Please, don't mess with my head Baby, love, it should be easy It shouldn't be complicated It should be easy I don't know how else to say it (You don't know how to) La da di La di da It's the only way to love La da di La di da It's the only way to love (To love) I don't know how, baby love, it should be easy It shouldn't be complicated It should be easy I don't know how else to say it La da di La di da It's the only way to love La da di La di da (You don't know how to)"
13," They say I'm crazy I really don't care That's my prerogative They say I'm nasty But I don't give a damn Getting boys is how I live Some messy questions Why am I so real? But they don't undersand me I really don't know the deal about my sister Trying hard to make it right Not long ago Before I won this fight [Chorus] Everybody's talking all this stuff about me Why don't they just let me live? I don't need permission, make my own decisions That's my prerogative That's my prerogative (It's my prerogative) It's the way that I want to live (it's my prerogative) You can't tell me what to do Don't get me wrong I'm really not souped Ego trips is not my thing All these strange relationships really gets me down I see nothing wrong in spreading myself around Everybody's talking all this stuff about me Why don't they just let me live? I don't need permission, make my own decisions That's my prerogative That's my prerogative Everybody's talking all this stuff about me Why don't they just let me live? I don't need permission, make my own decisions That's my prerogative That's my prerogative It's the way that I want to live (it's my prerogative) You can't tell me what to do Why can't I live my life Without all of the things That people say Oh oh Everybody's talking all this stuff about me Why don't they just let me live? I don't need permission, make my own decisions That's my prerogative (they say I'm crazy) Everybody's talking all this stuff about me Why don't they just let me live? (they say I'm use to) I don't need permission, make my own decisions That's my prerogative (It's my prerogative)"
14," Baby, can't you see I'm calling A guy like you Should wear a warning It's dangerous I'm fallin' There's no escape I can't wait I need a hit Baby, give me it You're dangerous I'm lovin' it Too high Can't come down Losing my head Spinning 'round and 'round Do you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic It's getting late To give you up I took a sip From my devil cup Slowly It's taking over me Too high Can't come down It's in the air And it's all around Can you feel me now With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic And I love what you do Don't you know that you're toxic Don't you know that you're toxic With a taste of your lips I'm on a ride You're toxic I'm slipping under With a taste of poison paradise I'm addicted to you Don't you know that you're toxic Intoxicate me now With your lovin' now I think I'm ready now I think I'm ready now Intoxicate me now With your lovin' now I'm ready now"
15, Notice me Take my hand Why are we Strangers when Our love was strong Why carry on without me [Chorus:] Every time I try to fly I fall Without my wings I feel so small I guess I need you baby And every time I see Your in my dreams I see your face Its haunting me I guess I need you baby I make-believe That you are here Its the only way That I see clear What have I done You seem to move on easy [Chorus] I may have made it rain Please forgive me My weakness Caused you pain And this song's my sorry At night I pray That soon your face will fade away [Chorus]
16," Nothing about you is typical Nothing about you is predictable You've got me all twisted and confused (It's all new) Up til now, I thought I knew love Nothing to loose and its damaged cause Patterns will fall as quick as I do, but now Bridges are burning Baby I'm learning, a new way of thinking now Love I can see, nothing will be, just like it was Is that because? Baby you're so unusual Didn't anyone tell you, you're supposed to, break my heart? I expect you do, so why haven't you? Maybe you're not even human cause Only an angel can be so unusual Sweet surprise, I could get used to Unusual You Been so many things when I was someone else Boxer in the ring trying to defend myself In the private eye to see what's going on (That's long gone) When I'm with you, I can just be myself You're always where you said you will be Shocking cause I never knew love like this could exist Tables are turning My heart is soaring, You'll never let me down Answer my call, here after all Never met anyone like you Baby you're so unusual Didn't anyone tell you, you're supposed to, break my heart? I expect you do, so why haven't you? Maybe you're not even human cause Only an angel can be so unusual Sweet surprise, I could get used to Unusual You Can't believe that I almost didn't try When you call my name Now everything has changed Baby you're so unusual Didn't anyone tell you, you're supposed to, break my heart? I expect you do, so why haven't you? Maybe you're not even human cause Only an angel can be so unusual Sweet surprise, I could get used to Unusual You"
17," Danja Yeah, this sounds nice yeah, yeah I got a plan we can do it Just when you want it baby,baby,baby As long as you want it Come with me we can do it Baby, baby, baby I got a plan we can do it Just when you want it baby,baby,baby As long as you want it Come with me we can do it Baby, baby, baby My body is calling out for you bad boy I get the feeling that I just want to be with ya Baby, I'm a freak and I don't really give a damn I'm crazy as a motherfucker Bet that on ya man If ya like what ya see And your curiosity Let your mind roam free Won't you pay attention please What I gotta do to get you to want my body? Quarter past three and ready to leave the party What ya tryin' to do, do, do (I got a plan we can do it just when you want it baby, baby, baby) What ya tryin' to do, do, do (As long as you want it come with me we can do it baby, baby, baby) (As long as you want it come with me we can do it baby, baby, baby) (As long as you want it come with me we can do it baby, baby, baby) (As long as you want it come with me we can do it baby, baby, baby) (As long as you want it come with me we can do it baby, baby, baby) (As long as you want it come with me we can do it baby, baby, baby) Get naked Get naked Get naked Get naked Get naked Get naked Get naked Get naked Take it off Take it off Take it off Take it off Get naked Get naked Get naked Get naked I'm not ashamed of my beauty you can see what I got Shouldn't I freak you out; imagine if I work it out If I got on top, your gonna lose your mind The way I put it down boy you know should be up Whatever you want, oh Whatever you want, oh We got it If ya like what ya see And your curiosity Let your mine roam free Won't you pay attention please If ya like what ya see And your curiosity Let your mine roam free Won't you pay attention please Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Get naked (would you mind?) Take it off (if I take it off) Take it off (if I take it off) Take it off (if I take it off) Take it off (if I take it off) Get naked Get naked Get naked Get naked Baby, take it off I just wanna take it off, I just wanna take it off Baby, take it off I just wanna take it off, I just wanna take it off What ya tryin' to do, do, do (I got a plan we can do it just when you want it baby, baby, baby) What ya tryin' to do, do, do (As long as you want it come with me we can do it baby, baby, baby)"
18," Did I wake you, we're you sleepin', were you still in my bed? Or is a nightmare, keepin' you up instead? Oh baby, are you feelin' guilty for what you did If you think you're hurtin', you ain't seen nothin' yet Was it really worth it? Was she everything, that you were looking for? Feel like a man I hope you know that, you can't come back Cause all we had, is broken like shattered glass You're gonna see me, in your dreams tonight My face is gonna haunt you all the time I promise that you gonna want me back When your world falls apart, like shattered glass Glass, glass, glass Are you having trouble focusin' through the day? Do you find yourself, still callin' my name? Do you wish you could rewind time and take it back? I bet you realize, she ain't half the woman I am Was it really worth it? Was she everything, that you were looking for? Feel like a man I hope you know that, you can't go back Cause all we had, is broken like shattered glass You're gonna see me, in your dreams tonight My face is gonna haunt you all the time I promise that you gonna want me back When your world falls apart, like shattered glass Glass, glass, glass Glass, Like like, glass Glass, glass, glass"
19," Oh You are fine, you are sweet But I'm still a bit naive with my heart When you're close, I don't breathe I can't find the words to speak, I feel sparks No, I don't wanna start seeing you If I can't be your only one So tell me When it's not alright When it's not okay Will you try to make me feel better Will you say alright? (Say alright) Will you say okay? (Say okay) Will you stick with me through whatever? Or run away Say that it's gonna be alright That it's gonna be okay (Say okay) When you call, I don't know If I should pick up the phone every time I'm not like all my friends Who keep calling up the boys, I'm so shy See, I can only start seeing you If you can make my heart feel safe (feel safe) When it's not alright When it's not okay Will you try to make me feel better When you say alright? (Say alright) When you say okay? (Say okay) Will you stick with me through whatever? Or run away Say that it's gonna be alright, that it's gonna be okay Don't run away (Woo!) Don't run away Let me know if it's gon' be you Boy, you've got some things to prove Let me know that you'll keep me safe I don't want you to run away so Let me know that you'll call on time Let me know that you'll help me shine Will you wipe my tears away? Will you hold me close and tight? When it's not alright When it's not okay Will you try to make me feel better When you say alright? (Say alright) When you say okay? (Say okay) Will you stick with me through whatever? Or run away (Say that it's gonna be alright, that it's gonna be okay) Say okay, yeah (Don't run away, don't run away) Say okay Say that it's gonna be alright, that it's gonna be okay Don't run away Will you say okay?"
